tweet_id,favorite_count,retweet_count,retweet_status,url
845397057150107648,7518,1765,Original tweet,https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o
845306882940190720,23019,5292,Original tweet,https://t.co/7mPCF4ZwEk
845098359547420673,0,7512,Original tweet,https://t…
844979544864018432,13456,2512,Original tweet,https://t.co/a5OaJeRl9B
844973813909606400,14875,3127,Original tweet,https://t.co/B1iBuSq3hr
844580511645339650,16265,3066,Original tweet,https://t.co/gAzPqT7uyk
844223788422217728,13490,2162,Original tweet,https://t.co/H38HB6rBTx
843981021012017153,14997,2899,Original tweet,https://t.co/Gu5wHx3CBd
843856843873095681,21200,4549,Original tweet,https://t.co/f5C5l5wa0e
843604394117681152,16690,2696,Original tweet,https://t.co/wHUElL84RC
843235543001513987,21284,5924,Original tweet,https://t.co/DKwp2ByMsL
842846295480000512,15109,3587,Original tweet,https://t.co/nFpNgCWWYs
842765311967449089,6658,1259,Original tweet,https://t.co/fvGkIuAlFK https://t.co/kiCFtmJd7l
842535590457499648,17912,3459,Original tweet,https://t.co/Tf0rh9ZgZe
842163532590374912,24171,5698,Original tweet,https://t.co/o6E0hB3xZl
842115215311396866,13842,2991,Original tweet,https://t.co/iDK4OyQJoy
841833993020538882,0,14850,Original tweet,https://t.co/btzf1zTDeQ
841680585030541313,25489,7710,Original tweet,https://t.co/qUOijSlPnj
841439858740625411,12524,3636,Original tweet,https://t.co/SVNMdFqKDL
841320156043304961,19625,5428,Original tweet,https://t.co/cEORXhwZ5K
841314665196081154,15685,4589,Original tweet,https://t.co/9lVAqDEvZ5
841077006473256960,22652,5241,Original tweet,https://t.co/XKJrmO4fAQ
840761248237133825,0,1746,Original tweet,https:/…
840728873075638272,0,15906,Original tweet,https://…
840698636975636481,173,2,Original tweet,n
840696689258311684,12181,962,Original tweet,https://t.co/2gclc1MNr7
840632337062862849,8923,1746,Original tweet,https://t.co/JesYTzb1Jo https://t.co/5cncH08G1o
840370681858686976,16320,4493,Original tweet,https://t.co/76iL7JUQdG
840268004936019968,19115,5655,Original tweet,https://t.co/8Wsr6b4RjE
839990271299457024,13312,2252,Original tweet,https://t.co/r7W1NbkOtr
839549326359670784,27260,7663,Original tweet,https://t.co/GuxEXTdnMu
839290600511926273,0,141,Original tweet,https://t.co/act3duiqbL
839239871831150596,26923,6456,Original tweet,https://t.co/JEXB9RwBmm
838952994649550848,19532,3955,Original tweet,https://t.co/ngAxYLVYHP
838921590096166913,11077,2043,Original tweet,https://t.co/oXVu9pNZZv
838916489579200512,0,35,Original tweet,https://t.co/6UCGFczlOI
838831947270979586,0,10894,Original tweet,https:…
838561493054533637,10880,1322,Original tweet,https://t.co/0av1PEehFI
838476387338051585,22350,4723,Original tweet,https://t.co/51FXNuouHI
838201503651401729,0,9952,Original tweet,https://t.co/EM…
838150277551247360,1664,328,Original tweet,0
838085839343206401,138,1,Original tweet,0
838083903487373313,17501,3103,Original tweet,https://t.co/meUc8jufAO
837820167694528512,33907,7790,Original tweet,https://t.co/ORiK6jlgdH
837482249356513284,3835,440,Original tweet,https://t.co/Z3LAaV2pKz
837471256429613056,12710,2256,Original tweet,https://t.co/u51tzXSVi3
837110210464448512,15973,2346,Original tweet,https://t.co/7pUjwe8X6B
836989968035819520,12705,2278,Original tweet,https://t.co/beWUzGVKRM
836753516572119041,19242,4608,Original tweet,https://t.co/GZmNEdyoJY
836677758902222849,12558,2211,Original tweet,https://t.co/fGAPAsxjKs
836648853927522308,0,554,Original tweet,…
836397794269200385,0,27312,Original tweet,https:/…
836380477523124226,14703,2970,Original tweet,https://t.co/W4KffrdX3Q
836260088725786625,21223,4270,Original tweet,https://t.co/gA2GECjiQD
836001077879255040,19014,4228,Original tweet,https://t.co/uRdKlFArQE
835685285446955009,0,8078,Original tweet,https://t.co/…
835574547218894849,17734,3596,Original tweet,https://t.co/cVQEnUQd8q
835536468978302976,0,1689,Original tweet,https://…
835309094223372289,0,20795,Original tweet,https://t.co/dsv4xAtfv7
835297930240217089,16423,2991,Original tweet,https://t.co/1U0z6r5LSO
835264098648616962,7716,1689,Original tweet,https://t.co/FYFyHh7rir https://t.co/IiB7ggduoU
835246439529840640,2092,73,Original tweet,o
835172783151792128,26060,5738,Original tweet,https://t.co/8fX2VkExnL
835152434251116546,22324,2996,Original tweet,https://t.co/YbEJPkg4Ag
834931633769889797,10768,1630,Original tweet,https://t.co/jTe7Y6P0HK
834786237630337024,21303,5464,Original tweet,https://t.co/3FIqvumEXE
834574053763584002,13619,2523,Original tweet,https://t.co/UtEVnQ1ZPg
834477809192075265,0,10589,Original tweet,…
834458053273591808,9596,1674,Original tweet,https://t.co/8ZOZS2FSJe
834209720923721728,20533,4732,Original tweet,https://t.co/FaeinVjzTZ
834167344700198914,15783,3646,Original tweet,https://t.co/o3bhLguymB
834089966724603904,10022,2125,Original tweet,https://t.co/ffIH2WxwF0
834086379323871233,13039,2197,Original tweet,https://t.co/5KmXPIGgAG
833863086058651648,13401,2399,Original tweet,https://t.co/HDloTYilWZ
833826103416520705,18027,3759,Original tweet,https://t.co/WTzhtfevKY
833732339549220864,0,221,Original tweet,…
833722901757046785,20765,3210,Original tweet,https://t.co/w1MQWO2PET
833479644947025920,14820,2041,Original tweet,https://t.co/YGeSpyN8Gu
833124694597443584,20171,4820,Original tweet,https://t.co/zD97KYFaFa
832998151111966721,13234,2198,Original tweet,https://t.co/QX1h0oqMz0
832769181346996225,0,39,Original tweet,https://t.co/zFEfMTaHqU
832757312314028032,16837,3610,Original tweet,https://t.co/On7muWnWSQ
832682457690300417,11869,2903,Original tweet,https://t.co/8YlD5lxPbQ
832645525019123713,2919,531,Original tweet,https://t.co/dp5h9bCwU7
832636094638288896,15820,2773,Original tweet,https://t.co/Y4DZx2UWsr
832397543355072512,11952,2217,Original tweet,https://t.co/nqAJGCHKEt
832369877331693569,17175,3174,Original tweet,https://t.co/Dhdx5HnQ4d
832273440279240704,11346,2334,Original tweet,https://t.co/SHAb1wHjMz
832215909146226688,0,6194,Original tweet,https://t.co/yBO5wu…
832215726631055365,0,9300,Original tweet,https://t.co/rLHGx3VAF3
832088576586297345,62,2,Original tweet,5
832040443403784192,0,9611,Original tweet,https://t.co/guDkLrX8zV
832032802820481025,17853,4648,Original tweet,https://t.co/P0bO8mCQwN https://t.co/SU4K34NT4M
831939777352105988,23969,6121,Original tweet,https://t.co/k9bzgyVdUT
831926988323639298,335,34,Original tweet,0
831911600680497154,27599,6494,Original tweet,https://t.co/l38R6IZNNg
831670449226514432,10430,1814,Original tweet,https://t.co/u6p4LxzHKg
831650051525054464,7132,1925,Original tweet,https://t.co/piiX0ke8Z6 https://t.co/1UHrKcaCiO
831552930092285952,8966,2313,Original tweet,https://t.co/BCbmFYLrse
831322785565769729,9277,1551,Original tweet,https://t.co/Xc0gyovCtK
831315979191906304,6537,1127,Original tweet,https://t.co/jd6lYhfdH4
831309418084069378,11760,2466,Original tweet,https://t.co/ghqMfxxa4V
831262627380748289,11904,2044,Original tweet,https://t.co/zqR5XKMpuY
830956169170665475,7964,1500,Original tweet,https://t.co/X4vNEzAod5
830583320585068544,66793,16751,Original tweet,https://t.co/SATN4If5H5
830173239259324417,0,5681,Original tweet,…
830097400375152640,9790,2939,Original tweet,https://t.co/z82hCtwhpn https://t.co/KoWrMkbMbW
829878982036299777,0,5012,Original tweet,https://t.co/QV5nx6otZR
829861396166877184,12244,1945,Original tweet,https://t.co/xeudgDXmTU
829501995190984704,31750,10589,Original tweet,https://t.co/Xw9JbJHTul
829449946868879360,10473,2017,Original tweet,https://t.co/fmRS43mWQB
829141528400556032,24400,7343,Original tweet,https://t.co/rHwfySggqR
829011960981237760,53189,16303,Original tweet,https://t.co/U50RlRw4is
828801551087042563,0,3422,Original tweet,https…
828770345708580865,25598,5866,Original tweet,https://t.co/AqPTHYUBFz
828708714936930305,36542,11179,Original tweet,https://t.co/vst2SEVJO3
828650029636317184,9506,1348,Original tweet,https://t.co/bZ4axuH6OK
828409743546925057,6349,1165,Original tweet,https://t.co/ZH5CvRlCxt
828408677031882754,7685,1293,Original tweet,https://t.co/7WFLKli2T3
828381636999917570,12587,2216,Original tweet,https://t.co/iCk7zstRA9
828376505180889089,7387,1072,Original tweet,https://t.co/HKBVZqXFNR
828372645993398273,12587,2937,Original tweet,https://t.co/JcTuUcyYNS
828361771580813312,2196,172,Original tweet,n
828046555563323392,11760,2879,Original tweet,https://t.co/O37z4jaMG9
828011680017821696,10369,2153,Original tweet,https://t.co/rkhCFfDtxB
827933404142436356,20129,5254,Original tweet,https://t.co/j8D3PQJvpJ
827653905312006145,15545,3027,Original tweet,https://t.co/eAA8lratd3
827600520311402496,7463,947,Original tweet,https://t.co/vrppizPGdb
827324948884643840,15879,3055,Original tweet,https://t.co/UU3KqQF5n5
827199976799354881,10596,2221,Original tweet,https://t.co/UkyQibIBzZ
826958653328592898,21617,5012,Original tweet,https://t.co/QV5nx6otZR
826848821049180160,36450,10192,Original tweet,https://t.co/WS0Gha8vRh
826615380357632002,0,3996,Original tweet,https:/…
826598799820865537,5132,253,Original tweet,g
826598365270007810,10086,2344,Original tweet,https://t.co/YprN62Z74I
826476773533745153,18449,4202,Original tweet,https://t.co/YIV8sw8xkh
826240494070030336,13327,2620,Original tweet,https://t.co/srXL2s868C
826204788643753985,4895,927,Original tweet,https://t.co/1httNYrCeW https://t.co/KvaM8j3jhX
826115272272650244,15691,3126,Original tweet,https://t.co/6gHoGah9nm
825876512159186944,10511,1876,Original tweet,https://t.co/feNwTq12S5
825829644528148480,12776,2498,Original tweet,https://t.co/YimNdkZrhM
825535076884762624,57040,17613,Original tweet,https://t.co/6ao80wIpV1
825147591692263424,18347,4558,Original tweet,https://t.co/AyBEmx56MD
825120256414846976,0,1261,Original tweet,https:/…
825026590719483904,6328,1261,Original tweet,https://t.co/koHvVQp9bL https://t.co/IhW0JKf7kc
824796380199809024,0,5511,Original tweet,https://t.co/ivPWhspN3E
824775126675836928,14957,3529,Original tweet,https://t.co/F0VWg2GztI
824663926340194305,10566,1781,Original tweet,https://t.co/A5Mx4h1FSM
824325613288833024,11886,10564,Original tweet,https://t.co/wBmc7OaGvS
824297048279236611,15115,3878,Original tweet,https://t.co/EmJbG0skLt
824025158776213504,4843,603,Original tweet,https://t.co/50qq2DItPW
823939628516474880,10667,2719,Original tweet,https://t.co/m0hrATIEyw
823719002937630720,0,11248,Original tweet,https://t.co/T7Jr4Gw4sC
823699002998870016,14045,2537,Original tweet,https://t.co/yCydYURYEL
823581115634085888,13085,2633,Original tweet,https://t.co/6F5Rrp472U
823333489516937216,702,25,Original tweet,0
823322678127919110,15800,4041,Original tweet,https://t.co/stkJ377KK7
823269594223824897,0,9937,Original tweet,https://t.co/rLi83ZyCL5
822975315408461824,17404,3467,Original tweet,https://t.co/yUM8jYStuG
822872901745569793,132210,43465,Original tweet,https://t.co/nTz3FtorBc
822859134160621569,13324,2288,Original tweet,https://t.co/SSQE06XClS
822647212903690241,0,6440,Original tweet,https://t.co/liJGwMp17E
822610361945911296,14888,2975,Original tweet,https://t.co/mcagPeENIh
822489057087389700,18268,6440,Original tweet,https://t.co/liJGwMp17E
822462944365645825,28166,14387,Original tweet,https://t.co/M3hZGadUuO
822244816520155136,35127,9937,Original tweet,https://t.co/rLi83ZyCL5
822163064745328640,0,4798,Original tweet,https:…
821886076407029760,11378,2324,Original tweet,https://t.co/djMep7mGkV
821813639212650496,0,3378,Original tweet,https://t.co/mH0IOyFdIG
821765923262631936,8453,1670,Original tweet,https://t.co/maDNMETA52
821522889702862852,8076,1771,Original tweet,https://t.co/IzcaR3Nqyn
821421320206483457,0,5621,Original tweet,https://t.co…
821407182352777218,11839,4362,Original tweet,https://t.co/Xn5AQtiqzG
821153421864615936,256,10,Original tweet,e
821149554670182400,8687,1998,Original tweet,https://t.co/r8DxA8DYJ2
821107785811234820,9658,2151,Original tweet,https://t.co/8SiwKDlRcl
821044531881721856,12743,2299,Original tweet,https://t.co/bryVdNaRcu
820837357901512704,0,6777,Original tweet,https://t.co/ii5eNX5…
820749716845686786,31739,9952,Original tweet,https://t.co/EMq8Ud6Ze1
820690176645140481,12280,3253,Original tweet,https://t.co/NIYC820tmd
820494788566847489,0,568,Original tweet,https://t…
820446719150292993,0,2583,Original tweet,https://t.co/pbKOesr8Tg
820314633777061888,3369,568,Original tweet,https://t.co/XQlmPTLHPl https://t.co/ZNIkkHgtYE
820078625395449857,19939,6333,Original tweet,https://t.co/wJZlpGFEbD
820013781606658049,0,1182,Original tweet,https://…
819952236453363712,5366,1182,Original tweet,https://t.co/f5WMsx0a9K https://t.co/6lJz0DKZIb
819924195358416896,12993,4917,Original tweet,https://t.co/XdRNXNYD4E
819711362133872643,13447,3134,Original tweet,https://t.co/m5fYxrO3IU
819588359383371776,9710,2004,Original tweet,https://t.co/52cItP0vIO
819347104292290561,7266,1216,Original tweet,https://t.co/8rUL99bX4W
819238181065359361,2283,410,Original tweet,https://t.co/MefMAZX2uv
819227688460238848,23230,6777,Original tweet,https://t.co/ii5eNX5LJT
819015337530290176,0,37153,Original tweet,https://t.co/AdPKrI8BZ1
819015331746349057,0,19098,Original tweet,https://t.co/YOC1fHFCSb
819006400881917954,45611,19098,Original tweet,https://t.co/YOC1fHFCSb
819004803107983360,87546,37153,Original tweet,https://t.co/AdPKrI8BZ1
818646164899774465,0,21173,Original tweet,https://t.co/hfi264QwYM
818627210458333184,22591,7596,Original tweet,https://t.co/I7bkhxBxUG
818614493328580609,9926,2585,Original tweet,https://t.co/FOF0hBDxP8
818588835076603904,0,6199,Original tweet,https://t.co/nBJ5RE4yHb
818536468981415936,10990,2479,Original tweet,https://t.co/6fSVcn9HAU
818307523543449600,0,8165,Original tweet,https://t.co/LIhmM7i…
818259473185828864,11109,2286,Original tweet,https://t.co/rnkvT2kvib
818145370475810820,12368,2596,Original tweet,https://t.co/JlPug12E5Z
817908911860748288,4894,811,Original tweet,https://t.co/bbuKxk0fM8
817827839487737858,52073,27312,Original tweet,https://t.co/q2BgNIi3OA
817777686764523521,10835,2716,Original tweet,https://t.co/m7isZrOBX7
817536400337801217,11871,2992,Original tweet,https://t.co/jQUdvtdYMu
817502432452313088,0,3422,Original tweet,https:/…
817423860136083457,34129,14850,Original tweet,https://t.co/btzf1zTDeQ
817415592588222464,5646,955,Original tweet,https://t.co/3uxgLz8d0l https://t.co/O0ECL1StB2
